Date,Clicks,Impressions,CTR,Position
2026-01-11,1,48,2.08%,27.2
2026-01-12,0,50,0%,18.3
2026-01-13,1,118,0.85%,43.6
2026-01-14,0,67,0%,18.4
2026-01-15,0,44,0%,12.5
2026-01-16,0,41,0%,11.5
2026-01-17,0,75,0%,18.1
2026-01-18,0,46,0%,18.3
2026-01-19,0,52,0%,15.4
2026-01-20,1,139,0.72%,38
2026-01-21,0,77,0%,16.9
2026-01-22,0,50,0%,14.6
2026-01-23,0,81,0%,13.1
2026-01-24,0,109,0%,16.7
2026-01-25,0,72,0%,21.3
2026-01-26,2,76,2.63%,12.9
2026-01-27,0,164,0%,29.3
2026-01-28,0,53,0%,23.2
2026-01-29,2,75,2.67%,13.7
2026-01-30,0,55,0%,20.6
2026-01-31,0,75,0%,18.2
2026-02-01,1,47,2.13%,17.3
2026-02-02,0,81,0%,15.5
2026-02-03,0,136,0%,34.7
2026-02-04,2,60,3.33%,21.8
2026-02-05,1,52,1.92%,19.9
2026-02-06,0,58,0%,19.6
2026-02-07,1,68,1.47%,22.6
2026-02-08,0,38,0%,18.1
2026-02-09,1,56,1.79%,15.5
2026-02-10,0,107,0%,23.2
2026-02-11,0,79,0%,33
2026-02-12,0,64,0%,20.7
2026-02-13,0,71,0%,30.9
2026-02-14,0,355,0%,58.3
2026-02-15,1,154,0.65%,56.6
2026-02-16,0,89,0%,27.2
2026-02-17,0,138,0%,24.6
2026-02-18,0,82,0%,30.9
2026-02-19,0,102,0%,32
2026-02-20,0,164,0%,18
2026-02-21,0,83,0%,22.5
2026-02-22,1,62,1.61%,16.5
2026-02-23,1,77,1.3%,20.3
2026-02-24,0,162,0%,20.6
2026-02-25,1,126,0.79%,22.2
2026-02-26,1,103,0.97%,19.7
2026-02-27,0,91,0%,18.7
2026-02-28,0,104,0%,17.5
2026-03-01,0,97,0%,18.8
2026-03-02,2,105,1.9%,11.5
2026-03-03,1,158,0.63%,13.9
2026-03-04,1,113,0.88%,17.2
2026-03-05,0,115,0%,17.1
2026-03-06,0,132,0%,17.1
2026-03-07,0,196,0%,14.8
2026-03-08,1,100,1%,21.6
2026-03-09,1,120,0.83%,17.3
2026-03-10,0,96,0%,18.7
2026-03-11,0,165,0%,23.8
2026-03-12,2,126,1.59%,15.1
2026-03-13,1,168,0.6%,15.7
2026-03-14,2,186,1.08%,17
2026-03-15,0,92,0%,15.7
2026-03-16,1,121,0.83%,13.3
2026-03-17,0,118,0%,11.6
2026-03-18,0,120,0%,19.9
2026-03-19,0,115,0%,28.8
2026-03-20,0,140,0%,17.6
2026-03-21,1,72,1.39%,20.7
2026-03-22,0,100,0%,20.5
2026-03-23,1,128,0.78%,26.1
2026-03-24,0,126,0%,25.3
2026-03-25,0,194,0%,27.4
2026-03-26,1,133,0.75%,35
2026-03-27,0,158,0%,24.1
2026-03-28,0,176,0%,41.4
2026-03-29,0,109,0%,39.3
2026-03-30,2,133,1.5%,29.9
2026-03-31,2,103,1.94%,22.9
2026-04-01,1,152,0.66%,20.2
2026-04-02,0,109,0%,21.3
2026-04-03,0,171,0%,21.8
2026-04-04,0,81,0%,23.8
2026-04-05,1,85,1.18%,28.4
2026-04-06,0,106,0%,25.3
2026-04-07,1,88,1.14%,21.2
2026-04-08,1,163,0.61%,26.7
2026-04-09,0,101,0%,23.4
2026-04-10,0,191,0%,13.7
