Country,Clicks,Impressions,CTR,Position
United States,46,9983,0.46%,26.9
Canada,1,73,1.37%,21.47
Australia,0,111,0%,70.84
United Kingdom,0,68,0%,26.24
India,0,55,0%,41.4
Brazil,0,43,0%,20.58
Germany,0,33,0%,24.48
Vietnam,0,29,0%,25.48
Netherlands,0,26,0%,45.15
Indonesia,0,25,0%,17.2
Mexico,0,22,0%,35.45
France,0,19,0%,13.58
Italy,0,19,0%,19.37
Spain,0,19,0%,19.53
Switzerland,0,19,0%,24.95
Argentina,0,17,0%,14.82
Philippines,0,16,0%,16.62
Japan,0,16,0%,18.81
Serbia,0,16,0%,70.44
Turkey,0,15,0%,19.6
Romania,0,14,0%,23.07
Pakistan,0,13,0%,13.46
Israel,0,13,0%,18.77
Colombia,0,13,0%,21.92
Hungary,0,12,0%,20.25
Thailand,0,12,0%,23.08
Egypt,0,11,0%,20.45
Malaysia,0,10,0%,16.7
Ireland,0,10,0%,30.3
Bangladesh,0,9,0%,11.22
Algeria,0,8,0%,12.38
Portugal,0,8,0%,17.38
Sweden,0,8,0%,18.12
Macedonia,0,6,0%,8.83
Norway,0,6,0%,21.67
New Zealand,0,6,0%,30.5
Saudi Arabia,0,6,0%,31.5
Czechia,0,6,0%,32.17
Guatemala,0,5,0%,8.4
Ecuador,0,5,0%,9.6
South Korea,0,5,0%,10.4
Nigeria,0,5,0%,11.2
Venezuela,0,5,0%,30.8
Ukraine,0,4,0%,7.25
Poland,0,4,0%,11.25
Russia,0,4,0%,20.5
Singapore,0,4,0%,20.75
Chile,0,4,0%,29.75
El Salvador,0,3,0%,5.67
Nicaragua,0,3,0%,7.67
Morocco,0,3,0%,16.67
China,0,3,0%,22.33
Tunisia,0,3,0%,22.67
Mongolia,0,3,0%,27.33
Costa Rica,0,3,0%,40.33
Belgium,0,3,0%,51
Denmark,0,3,0%,65.33
Malta,0,2,0%,3
Cuba,0,2,0%,4
Peru,0,2,0%,6
Dominican Republic,0,2,0%,6.5
Bahamas,0,2,0%,10
United Arab Emirates,0,2,0%,14
Honduras,0,2,0%,21
Austria,0,2,0%,26.5
Lithuania,0,2,0%,30.5
Angola,0,2,0%,31
Estonia,0,2,0%,39
Puerto Rico,0,2,0%,51
Bosnia & Herzegovina,0,1,0%,1
Kazakhstan,0,1,0%,3
Panama,0,1,0%,3
Azerbaijan,0,1,0%,4
Latvia,0,1,0%,4
Moldova,0,1,0%,4
Paraguay,0,1,0%,5
Zambia,0,1,0%,5
Afghanistan,0,1,0%,7
Taiwan,0,1,0%,7
Uruguay,0,1,0%,7
Haiti,0,1,0%,8
Bermuda,0,1,0%,9
Palestine,0,1,0%,9
Hong Kong,0,1,0%,12
Oman,0,1,0%,12
Trinidad & Tobago,0,1,0%,12
Slovakia,0,1,0%,13
Kosovo,0,1,0%,14
Seychelles,0,1,0%,16
Georgia,0,1,0%,18
Greece,0,1,0%,22
South Africa,0,1,0%,22
Iran,0,1,0%,34
Côte d’Ivoire,0,1,0%,40
Cameroon,0,1,0%,42
Kenya,0,1,0%,44
Bhutan,0,1,0%,45
Bahrain,0,1,0%,47
Uzbekistan,0,1,0%,49
